"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0,0,0.0049999999,0,0,0,0,1e-15,0,158024,5.79916,-1.23162,0.14162099,0
0.0020000001,0,0.0049999999,0,0,0,0.0020000001,1e-15,0,158024,4.3544149,-1.1720901,0.092791796,0
0.0040000002,0,0.0049999999,0,0,0,0.0040000002,1e-15,0,158024,2.6031251,-1.051357,0.027013551,0
0.0060000001,0,0.0049999999,0,0,0,0.0060000001,1e-15,0,158024,2.1863852,-0.95594049,0.0027464451,0
0.0080000004,0,0.0049999999,0,0,0,0.0080000004,1e-15,0,158024,1.9936199,-0.88582146,-0.00319811,0
0.0099999998,0,0.0049999999,0,0,0,0.0099999998,1e-15,0,158024,1.803185,-0.80620146,-0.001018318,0
0.012,0,0.0049999999,0,0,0,0.012,1e-15,0,158024,1.57233,-0.71511197,-0.00087605801,0
0.014,0,0.0049999999,0,0,0,0.014,1e-15,0,158024,1.3316751,-0.62369454,-0.0023214598,0
0.016000001,0,0.0049999999,0,0,0,0.016000001,1e-15,0,158024,1.120715,-0.54386002,-0.0032414249,0
0.017999999,0,0.0049999999,0,0,0,0.017999999,1e-15,0,158024,0.96817303,-0.48198801,-0.0030238349,0
0.02,0,0.0049999999,0,0,0,0.02,1e-15,0,158024,0.88157851,-0.43855852,-0.00218315,0
0.022,0,0.0049999999,0,0,0,0.022,1e-15,0,158024,0.84978801,-0.4104805,-0.0013013735,0
0.024,0,0.0049999999,0,0,0,0.024,1e-15,0,158024,0.852853,-0.39339548,-0.00065045949,0
0.026000001,0,0.0049999999,0,0,0,0.026000001,1e-15,0,158024,0.871104,-0.38321549,-0.00026452151,0
0.028000001,0,0.0049999999,0,0,0,0.028000001,1e-15,0,158024,0.89124751,-0.37684852,-8.0114049e-05,0
0.029999999,0,0.0049999999,0,0,0,0.029999999,1e-15,0,158024,0.906627,-0.372318,-1.8346265e-05,0
0.032000002,0,0.0049999999,0,0,0,0.032000002,1e-15,0,158024,0.915425,-0.36853498,-1.7521364e-05,0
0.034000002,0,0.0049999999,0,0,0,0.034000002,1e-15,0,158024,0.91842103,-0.36498851,-3.94089e-05,0
0.035999998,0,0.0049999999,0,0,0,0.035999998,1e-15,0,158024,0.91718447,-0.36149251,-6.4652348e-05,0
0.037999999,0,0.0049999999,0,0,0,0.037999999,1e-15,0,158024,0.91328704,-0.35801399,-8.6675544e-05,0
0.039999999,0,0.0049999999,0,0,0,0.039999999,1e-15,0,158024,0.907713,-0.354577,-0.00010489595,0
0.041999999,0,0.0049999999,0,0,0,0.041999999,1e-15,0,158024,0.90114647,-0.35121602,-0.0001208865,0
0.044,0,0.0049999999,0,0,0,0.044,1e-15,0,158024,0.89394701,-0.34795901,-0.0001360225,0
0.046,0,0.0049999999,0,0,0,0.046,1e-15,0,158024,0.88630152,-0.34482002,-0.0001509265,0
0.048,0,0.0049999999,0,0,0,0.048,1e-15,0,158024,0.87830853,-0.34180251,-0.00016514451,0
0.050000001,0,0.0049999999,0,0,0,0.050000001,1e-15,0,158024,0.870103,-0.33890402,-0.00017782551,0
0.052000001,0,0.0049999999,0,0,0,0.052000001,1e-15,0,158024,0.86174047,-0.3361195,-0.00018773301,0
0.054000001,0,0.0049999999,0,0,0,0.054000001,1e-15,0,158024,0.85329247,-0.3334415,-0.00019389301,0
0.056000002,0,0.0049999999,0,0,0,0.056000002,1e-15,0,158024,0.84485048,-0.33086249,-0.000195677,0
0.057999998,0,0.0049999999,0,0,0,0.057999998,1e-15,0,158024,0.83653545,-0.328374,-0.000193103,0
0.059999999,0,0.0049999999,0,0,0,0.059999999,1e-15,0,158024,0.8284145,-0.3259705,-0.000186576,0
0.061999999,0,0.0049999999,0,0,0,0.061999999,1e-15,0,158024,0.8205235,-0.32364649,-0.00017674349,0
0.064000003,0,0.0049999999,0,0,0,0.064000003,1e-15,0,158024,0.8129015,-0.32139748,-0.0001645435,0
0.066,0,0.0049999999,0,0,0,0.066,1e-15,0,158024,0.80555999,-0.31922001,-0.00015102449,0
0.068000004,0,0.0049999999,0,0,0,0.068000004,1e-15,0,158024,0.79851198,-0.31710851,-0.0001372495,0
0.07,0,0.0049999999,0,0,0,0.07,1e-15,0,158024,0.79171801,-0.31506151,-0.00012398401,0
0.071999997,0,0.0049999999,0,0,0,0.071999997,1e-15,0,158024,0.78518105,-0.31307551,-0.0001118995,0
0.074000001,0,0.0049999999,0,0,0,0.074000001,1e-15,0,158024,0.778862,-0.31114751,-0.0001014194,0
0.075999998,0,0.0049999999,0,0,0,0.075999998,1e-15,0,158024,0.77272099,-0.30927551,-9.2789953e-05,0
0.078000002,0,0.0049999999,0,0,0,0.078000002,1e-15,0,158024,0.76673549,-0.307457,-8.60742e-05,0
0.079999998,0,0.0049999999,0,0,0,0.079999998,1e-15,0,158024,0.76087201,-0.30568999,-8.1199396e-05,0
0.082000002,0,0.0049999999,0,0,0,0.082000002,1e-15,0,158024,0.75511098,-0.3039715,-7.8051249e-05,0
0.083999999,0,0.0049999999,0,0,0,0.083999999,1e-15,0,158024,0.7494185,-0.3022995,-7.6416894e-05,0
0.086000003,0,0.0049999999,0,0,0,0.086000003,1e-15,0,158024,0.74377096,-0.30067301,-7.6043551e-05,0
0.088,0,0.0049999999,0,0,0,0.088,1e-15,0,158024,0.73816752,-0.2990905,-7.6650103e-05,0
0.090000004,0,0.0049999999,0,0,0,0.090000004,1e-15,0,158024,0.73261851,-0.29754949,-7.8029247e-05,0
0.092,0,0.0049999999,0,0,0,0.092,1e-15,0,158024,0.72711349,-0.29604849,-7.9902951e-05,0
0.093999997,0,0.0049999999,0,0,0,0.093999997,1e-15,0,158024,0.72165596,-0.2945855,-8.1928898e-05,0
