"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0,0,0.0049999999,0,0,0,0,0.0139648,-0.0056015402,-0.00075935997,0
0.0020000001,0,0.0049999999,0,0,0,0.0020000001,0.0099603105,-0.0045866054,-0.00056864752,0
0.0040000002,0,0.0049999999,0,0,0,0.0040000002,0.0046019051,-0.00296147,-0.00025834251,0
0.0060000001,0,0.0049999999,0,0,0,0.0060000001,0.0030223401,-0.0020500151,-9.3354043e-05,0
0.0080000004,0,0.0049999999,0,0,0,0.0080000004,0.0026743549,-0.001616045,-3.5927751e-05,0
0.0099999998,0,0.0049999999,0,0,0,0.0099999998,0.0024449849,-0.00140141,-2.054365e-05,0
0.012,0,0.0049999999,0,0,0,0.012,0.002258765,-0.0012583351,-1.517585e-05,0
0.014,0,0.0049999999,0,0,0,0.014,0.0021174101,-0.001150205,-1.17576e-05,0
0.016000001,0,0.0049999999,0,0,0,0.016000001,0.0020032851,-0.0010657851,-9.4063853e-06,0
0.017999999,0,0.0049999999,0,0,0,0.017999999,0.00190701,-0.00099743041,-7.7761397e-06,0
0.02,0,0.0049999999,0,0,0,0.02,0.0018243201,-0.000940411,-6.57393e-06,0
0.022,0,0.0049999999,0,0,0,0.022,0.001752245,-0.000891865,-5.6507897e-06,0
0.024,0,0.0049999999,0,0,0,0.024,0.0016886001,-0.00084987551,-4.9250548e-06,0
0.026000001,0,0.0049999999,0,0,0,0.026000001,0.00163182,-0.00081307697,-4.3424798e-06,0
0.028000001,0,0.0049999999,0,0,0,0.028000001,0.001580725,-0.0007804755,-3.8660701e-06,0
0.029999999,0,0.0049999999,0,0,0,0.029999999,0.0015344101,-0.00075132848,-3.4704349e-06,0
0.032000002,0,0.0049999999,0,0,0,0.032000002,0.00149216,-0.00072506652,-3.13757e-06,0
0.034000002,0,0.0049999999,0,0,0,0.034000002,0.001453405,-0.00070124504,-2.8542449e-06,0
0.035999998,0,0.0049999999,0,0,0,0.035999998,0.0014176799,-0.00067951053,-2.61074e-06,0
0.037999999,0,0.0049999999,0,0,0,0.037999999,0.0013846001,-0.0006595765,-2.39977e-06,0
0.039999999,0,0.0049999999,0,0,0,0.039999999,0.001353855,-0.00064120698,-2.21553e-06,0
0.041999999,0,0.0049999999,0,0,0,0.041999999,0.0013251749,-0.000624209,-2.0533898e-06,0
0.044,0,0.0049999999,0,0,0,0.044,0.0012983349,-0.00060842303,-1.9097849e-06,0
0.046,0,0.0049999999,0,0,0,0.046,0.00127314,-0.00059371401,-1.781975e-06,0
0.048,0,0.0049999999,0,0,0,0.048,0.00124942,-0.00057996449,-1.6676449e-06,0
0.050000001,0,0.0049999999,0,0,0,0.050000001,0.0012270401,-0.00056707603,-1.5648e-06,0
0.052000001,0,0.0049999999,0,0,0,0.052000001,0.0012058751,-0.00055496499,-1.471975e-06,0
0.054000001,0,0.0049999999,0,0,0,0.054000001,0.00118581,-0.00054355501,-1.38788e-06,0
0.056000002,0,0.0049999999,0,0,0,0.056000002,0.00116675,-0.00053278252,-1.3113e-06,0
0.057999998,0,0.0049999999,0,0,0,0.057999998,0.00114861,-0.00052259251,-1.241405e-06,0
0.059999999,0,0.0049999999,0,0,0,0.059999999,0.001131315,-0.000512934,-1.177425e-06,0
0.061999999,0,0.0049999999,0,0,0,0.061999999,0.0011148,-0.0005037635,-1.1186251e-06,0
0.064000003,0,0.0049999999,0,0,0,0.064000003,0.001099005,-0.00049504201,-1.0644651e-06,0
0.066,0,0.0049999999,0,0,0,0.066,0.0010838751,-0.0004867345,-1.014437e-06,0
0.068000004,0,0.0049999999,0,0,0,0.068000004,0.0010693651,-0.00047881051,-9.6822305e-07,0
0.07,0,0.0049999999,0,0,0,0.07,0.001055425,-0.0004712395,-9.2535799e-07,0
