"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
0,0,0.0049999999,0,0,0,0,0.47677401,1.79982e-05,2840.8,4.0708399,-0.387088,0.00198999,0,40.934399
0.0020000001,0,0.0049999999,0,0,0,0.0020000001,0.52922052,1.920935e-05,2989.2852,3.8648701,-0.40432352,0.00162629,0,43.074051
0.0040000002,0,0.0049999999,0,0,0,0.0040000002,0.63437903,2.151865e-05,3274.03,3.5123351,-0.4365285,0.000928608,0,47.177101
0.0060000001,0,0.0049999999,0,0,0,0.0060000001,0.73940599,2.361595e-05,3535.52,3.2922802,-0.46495998,0.00032213546,0,50.945
0.0080000004,0,0.0049999999,0,0,0,0.0080000004,0.84311795,2.5526399e-05,3775.95,3.17272,-0.4905805,-0.00017790505,0,54.409451
0.0099999998,0,0.0049999999,0,0,0,0.0099999998,0.94457901,2.7270151e-05,3997.1499,3.08797,-0.51373649,-0.000602026,0,57.596848
0.012,0,0.0049999999,0,0,0,0.012,1.0430415,2.8863451e-05,4200.6553,3.0157351,-0.53467703,-0.0009699635,0,60.5294
0.014,0,0.0049999999,0,0,0,0.014,1.137905,3.031985e-05,4387.79,2.9537501,-0.55360299,-0.0012917849,0,63.225903
0.016000001,0,0.0049999999,0,0,0,0.016000001,1.2287149,3.1650998e-05,4559.73,2.9008398,-0.57068652,-0.001574115,0,65.7033
0.017999999,0,0.0049999999,0,0,0,0.017999999,1.315145,3.2867101e-05,4717.5352,2.8545499,-0.58608103,-0.0018214651,0,67.977249
0.02,0,0.0049999999,0,0,0,0.02,1.396955,3.3977347e-05,4862.1846,2.81282,-0.59992552,-0.002037795,0,70.061554
0.022,0,0.0049999999,0,0,0,0.022,1.474015,3.499e-05,4994.5947,2.774435,-0.61234552,-0.0022257101,0,71.969498
0.024,0,0.0049999999,0,0,0,0.024,1.546265,3.5912599e-05,5115.6152,2.7386851,-0.6234585,-0.0023882301,0,73.713455
0.026000001,0,0.0049999999,0,0,0,0.026000001,1.6137049,3.675215e-05,5226.0498,2.70509,-0.63336748,-0.002528165,0,75.304749
0.028000001,0,0.0049999999,0,0,0,0.028000001,1.6763999,3.7515048e-05,5326.6602,2.67329,-0.64217049,-0.002647415,0,76.754448
0.029999999,0,0.0049999999,0,0,0,0.029999999,1.7344451,3.8207199e-05,5418.145,2.6430049,-0.64995646,-0.0027481052,0,78.072601
0.032000002,0,0.0049999999,0,0,0,0.032000002,1.7879801,3.8834049e-05,5501.165,2.6140299,-0.65680599,-0.0028310351,0,79.268845
0.034000002,0,0.0049999999,0,0,0,0.034000002,1.83717,3.9400751e-05,5576.3501,2.58622,-0.66280103,-0.0028981101,0,80.352295
0.035999998,0,0.0049999999,0,0,0,0.035999998,1.882195,3.9912e-05,5644.29,2.5594501,-0.66801047,-0.0029515401,0,81.331299
0.037999999,0,0.0049999999,0,0,0,0.037999999,1.92325,4.0372201e-05,5705.5303,2.5336151,-0.67250049,-0.00299181,0,82.213799
0.039999999,0,0.0049999999,0,0,0,0.039999999,1.960535,4.0785453e-05,5760.585,2.5086401,-0.67633545,-0.0030209851,0,83.007095
0.041999999,0,0.0049999999,0,0,0,0.041999999,1.9942651,4.115545e-05,5809.9399,2.4844651,-0.6795665,-0.003040615,0,83.718246
0.044,0,0.0049999999,0,0,0,0.044,2.0246501,4.1485699e-05,5854.04,2.46103,-0.68224651,-0.00305048,0,84.353798
0.046,0,0.0049999999,0,0,0,0.046,2.0518951,4.1779502e-05,5893.3047,2.4382849,-0.6844275,-0.0030519748,0,84.919601
0.048,0,0.0049999999,0,0,0,0.048,2.07621,4.2039901e-05,5928.1299,2.4161949,-0.68615401,-0.00304685,0,85.421349
0.050000001,0,0.0049999999,0,0,0,0.050000001,2.09779,4.2269552e-05,5958.8701,2.3947201,-0.68746448,-0.0030359151,0,85.864197
